sgRNA,Gene,HL60.initial,KBM7.initial,HL60.final,KBM7.final
ABCF1_m30539291,ABCF1,147,163,305,871
ABCF1_p30539251,ABCF1,767,675,589,647
ABCF1_p30539272,ABCF1,756,585,1503,1612
ABCF1_p30545181,ABCF1,792,678,2674,3651
ABCF1_p30545587,ABCF1,33,140,1055,435
ABCF1_p30545605,ABCF1,341,218,692,550
ABCF1_p30545610,ABCF1,1344,1012,2581,2254
ABCF1_p30545638,ABCF1,145,212,641,844
ABCF1_p30545878,ABCF1,1369,1120,1687,755
ABCF1_p30545888,ABCF1,180,199,701,335
ABLIM2_m8108265,ABLIM2,1080,672,1816,2314
ABLIM2_m8108274,ABLIM2,372,784,2237,2717
ABLIM2_m8108279,ABLIM2,458,338,755,1004
ABLIM2_m8108294,ABLIM2,709,1285,2947,3905
ABLIM2_m8108316,ABLIM2,198,173,245,304
ABLIM2_m8160405,ABLIM2,909,1005,2217,2001
ABLIM2_p8108286,ABLIM2,637,561,1768,2749
ABLIM2_p8108299,ABLIM2,639,836,2576,3115
ABLIM2_p8108320,ABLIM2,102,38,155,410
ABLIM2_p8108331,ABLIM2,885,652,2079,1885
ABTB1_m127395233,ABTB1,407,308,765,550
ABTB1_m127395403,ABTB1,576,877,765,2182
ABTB1_m127395808,ABTB1,806,366,1408,1592
ABTB1_m127395813,ABTB1,335,199,1368,1279
ABTB1_m127395855,ABTB1,381,500,1765,1327
ABTB1_m127395860,ABTB1,643,621,1404,2053
ABTB1_p127395220,ABTB1,444,627,1291,518
ABTB1_p127395242,ABTB1,573,802,1353,1655
ABTB1_p127395252,ABTB1,358,225,652,1348
ABTB1_p127395834,ABTB1,342,485,656,1442
ACAD9_m128598565,ACAD9,503,521,4007,3584
ACAD9_m128598607,ACAD9,91,121,326,476
ACAD9_m128598614,ACAD9,460,544,2733,923
ACAD9_m128598631,ACAD9,272,343,446,699
ACAD9_m128598636,ACAD9,388,297,489,253
ACAD9_p128598519,ACAD9,433,425,921,393
ACAD9_p128598525,ACAD9,391,299,430,1624
ACAD9_p128598545,ACAD9,564,619,1072,706
ACAD9_p128598551,ACAD9,789,752,1776,2200
ACAD9_p128598592,ACAD9,627,436,791,821
ACSS2_m33470722,ACSS2,500,202,859,662
ACSS2_m33500924,ACSS2,405,333,1683,1551
ACSS2_m33500940,ACSS2,1126,531,1695,3562
ACSS2_m33500955,ACSS2,426,498,820,1500
ACSS2_m33501214,ACSS2,463,421,845,1776
ACSS2_m33501222,ACSS2,451,438,1371,1376
ACSS2_p33470688,ACSS2,599,350,1065,1819
ACSS2_p33500893,ACSS2,64,252,1128,1621
ACSS2_p33500928,ACSS2,272,454,1819,1851
ACSS2_p33501184,ACSS2,475,299,799,608
ACTR8_m53916047,ACTR8,1690,1323,3444,1592
ACTR8_m53916057,ACTR8,675,566,1179,350
ACTR8_m53916067,ACTR8,862,651,398,74
ACTR8_m53916073,ACTR8,1021,741,1269,2580
ACTR8_m53916081,ACTR8,1310,1157,309,411
ACTR8_m53916091,ACTR8,239,440,361,1091
ACTR8_m53916096,ACTR8,1170,567,565,388
ACTR8_m53916103,ACTR8,615,814,2350,1844
ACTR8_m53916111,ACTR8,443,609,913,1874
ACTR8_m53916121,ACTR8,194,230,157,78
ACVR2A_m148602752,ACVR2A,955,561,1182,1126
ACVR2A_m148602767,ACVR2A,1084,799,1782,3155
ACVR2A_m148653941,ACVR2A,396,368,746,2145
ACVR2A_m148653961,ACVR2A,587,243,1032,954
ACVR2A_p148602720,ACVR2A,961,403,2354,3163
ACVR2A_p148602754,ACVR2A,350,142,731,943
ACVR2A_p148653859,ACVR2A,169,350,959,1370
ACVR2A_p148653946,ACVR2A,648,263,1457,2080
ACVR2A_p148653965,ACVR2A,390,95,190,583
ACVR2A_p148653997,ACVR2A,1091,1020,2469,2845
ACVRL1_m52306276,ACVRL1,627,496,2249,2456
ACVRL1_m52306307,ACVRL1,557,550,1651,1462
ACVRL1_m52306881,ACVRL1,1133,621,2525,2059
ACVRL1_m52306910,ACVRL1,868,640,2322,2264
ACVRL1_m52306921,ACVRL1,504,296,2326,958
ACVRL1_p52306245,ACVRL1,569,548,1736,2092
ACVRL1_p52306281,ACVRL1,813,505,2675,2225
ACVRL1_p52306287,ACVRL1,1148,859,2205,3686
ACVRL1_p52306296,ACVRL1,906,633,1150,1272
ACVRL1_p52306883,ACVRL1,1056,636,1842,2022
ADAM10_m58974490,ADAM10,417,394,676,702
ADAM10_m59009777,ADAM10,367,575,1729,1785
ADAM10_m59009866,ADAM10,415,353,538,1216
ADAM10_m59009883,ADAM10,815,1060,2685,3758
ADAM10_m59041689,ADAM10,61,56,79,309
ADAM10_m59041696,ADAM10,340,258,649,592
ADAM10_p58974401,ADAM10,659,487,936,448
ADAM10_p58974481,ADAM10,911,649,2327,2141
ADAM10_p59009761,ADAM10,246,134,293,508
ADAM10_p59009767,ADAM10,603,423,1536,912
ADAM12_m128018982,ADAM12,438,199,661,612
ADAM12_m128019019,ADAM12,753,735,1714,1670
ADAM12_m128019025,ADAM12,381,485,1516,1073
ADAM12_m128076635,ADAM12,242,399,825,1111
ADAM12_m128076658,ADAM12,523,432,2270,2731
ADAM12_p128018991,ADAM12,35,39,132,389
ADAM12_p128019039,ADAM12,1241,459,1049,1058
ADAM12_p128076618,ADAM12,82,131,305,410
ADAM12_p128076641,ADAM12,768,751,2339,3211
ADAM12_p128076650,ADAM12,530,365,673,1328
ADARB1_m46591572,ADARB1,140,105,358,629
ADARB1_m46595675,ADARB1,387,265,1117,697
ADARB1_m46595697,ADARB1,485,319,952,1089
ADARB1_m46595715,ADARB1,510,213,749,1177
ADARB1_m46595721,ADARB1,156,414,1880,1598
ADARB1_m46595779,ADARB1,453,98,304,253
ADARB1_p46595645,ADARB1,738,566,2401,2617
ADARB1_p46595700,ADARB1,503,515,1573,1321
ADARB1_p46595705,ADARB1,1352,1069,2843,4330
ADARB1_p46595724,ADARB1,234,73,485,397
ADCY1_m45614206,ADCY1,122,176,649,351
ADCY1_m45614243,ADCY1,688,682,769,1474
ADCY1_m45614270,ADCY1,454,346,861,1526
ADCY1_m45614323,ADCY1,483,514,1591,2080
ADCY1_p45614127,ADCY1,1174,1279,2832,2521
ADCY1_p45614255,ADCY1,307,465,1300,901
ADCY1_p45614284,ADCY1,296,284,589,810
ADCY1_p45614294,ADCY1,102,176,456,419
ADCY1_p45614309,ADCY1,265,110,279,66
ADCY1_p45614315,ADCY1,2,41,334,327
AFAP1L2_m116092987,AFAP1L2,598,262,1008,1705
AFAP1L2_m116093045,AFAP1L2,482,477,1193,1342
AFAP1L2_m116100394,AFAP1L2,453,557,1363,906
AFAP1L2_m116100466,AFAP1L2,311,244,775,934
AFAP1L2_p116092995,AFAP1L2,941,487,1418,1489
AFAP1L2_p116100376,AFAP1L2,150,289,593,940
AFAP1L2_p116100409,AFAP1L2,915,638,3685,2371
AFAP1L2_p116100418,AFAP1L2,264,204,1090,1162
AFAP1L2_p116100433,AFAP1L2,227,167,549,378
AFAP1L2_p116164194,AFAP1L2,402,206,961,965
AFF4_m132272813,AFF4,649,422,1198,2157
AFF4_m132272826,AFF4,786,1234,3211,3711
AFF4_m132272833,AFF4,929,1084,1731,2189
AFF4_m132272841,AFF4,164,359,448,1402
AFF4_m132272866,AFF4,816,826,2232,2605
AFF4_p132272747,AFF4,359,64,115,579
AFF4_p132272762,AFF4,382,267,1139,1059
AFF4_p132272771,AFF4,375,781,1818,2643
AFF4_p132272844,AFF4,408,530,1920,2421
AFF4_p132272853,AFF4,515,381,1400,1598
AIMP1_m107249252,AIMP1,485,376,978,1259
AIMP1_m107249322,AIMP1,66,50,121,177
AIMP1_p107246177,AIMP1,121,45,67,168
AIMP1_p107246187,AIMP1,732,472,1528,1105
AIMP1_p107246195,AIMP1,441,531,1623,1003
AIMP1_p107248680,AIMP1,1084,706,2507,2087
AIMP1_p107249260,AIMP1,297,362,851,1793
AIMP1_p107249309,AIMP1,474,345,660,1172
AIMP1_p107252880,AIMP1,0,46,842,27
AIMP1_p107252893,AIMP1,612,638,1158,3331
AKNA_m117143492,AKNA,1304,322,1269,1235
AKNA_m117143569,AKNA,685,763,2215,2946
AKNA_m117143575,AKNA,593,313,881,1200
AKNA_m117143585,AKNA,125,296,962,295
AKNA_p117143411,AKNA,449,613,1799,2212
AKNA_p117143426,AKNA,313,389,1614,1280
AKNA_p117143433,AKNA,87,74,373,1329
AKNA_p117143511,AKNA,111,212,1035,630
AKNA_p117143517,AKNA,395,434,431,1190
AKNA_p117143593,AKNA,820,803,1190,3515
ALKBH8_m107427687,ALKBH8,1884,1067,3017,2935
ALKBH8_m107427703,ALKBH8,877,754,1551,2058
ALKBH8_m107427709,ALKBH8,135,530,1213,1251
ALKBH8_m107431492,ALKBH8,882,930,2373,2174
ALKBH8_m107431521,ALKBH8,187,395,834,1157
ALKBH8_m107431562,ALKBH8,128,93,21,669
ALKBH8_p107427693,ALKBH8,696,549,1011,1035
ALKBH8_p107431481,ALKBH8,222,251,647,1166
ALKBH8_p107431523,ALKBH8,371,227,671,441
ALKBH8_p107431585,ALKBH8,202,151,172,1331
ANG_m21161782,ANG,921,831,625,929
ANG_m21161790,ANG,195,234,380,417
ANG_m21161808,ANG,378,255,1119,1105
ANG_m21161824,ANG,665,680,1491,2155
ANG_m21161829,ANG,705,501,2424,1697
ANG_p21161710,ANG,137,109,290,321
ANG_p21161716,ANG,335,335,1460,765
ANG_p21161743,ANG,185,298,283,525
ANG_p21161749,ANG,361,405,1786,637
ANG_p21161835,ANG,368,286,496,880
ANKRD28_m15762614,ANKRD28,839,358,1007,1593
ANKRD28_m15765934,ANKRD28,344,344,1105,825
ANKRD28_m15765977,ANKRD28,1430,718,2515,3734
ANKRD28_m15765997,ANKRD28,434,487,1665,1316
ANKRD28_m15776931,ANKRD28,689,447,1412,1423
ANKRD28_m15776981,ANKRD28,200,226,817,664
ANKRD28_p15762602,ANKRD28,303,426,1139,834
ANKRD28_p15765918,ANKRD28,354,245,496,1200
ANKRD28_p15776913,ANKRD28,553,238,982,655
ANKRD28_p15776985,ANKRD28,884,568,1527,2530
ANKRD49_m94230080,ANKRD49,292,196,873,659
ANKRD49_m94231243,ANKRD49,191,221,706,1031
ANKRD49_m94231375,ANKRD49,1023,816,3196,3565
ANKRD49_m94231441,ANKRD49,644,487,1178,419
ANKRD49_p94229927,ANKRD49,101,31,510,139
ANKRD49_p94231228,ANKRD49,719,780,775,424
ANKRD49_p94231267,ANKRD49,1222,624,2594,3435
ANKRD49_p94231331,ANKRD49,532,320,1861,1048
ANKRD49_p94231346,ANKRD49,756,690,966,393
ANKRD49_p94231408,ANKRD49,105,174,743,769
ANLN_m36435893,ANLN,331,251,241,245
ANLN_m36435899,ANLN,146,59,418,87
ANLN_m36435937,ANLN,1238,1248,2305,1384
ANLN_m36435949,ANLN,1375,1397,592,1523
ANLN_m36435985,ANLN,226,190,471,851
ANLN_m36436013,ANLN,122,215,393,83
ANLN_p36435861,ANLN,466,407,1065,588
ANLN_p36435878,ANLN,600,667,1461,1653
ANLN_p36435929,ANLN,704,555,517,421
ANLN_p36438739,ANLN,614,250,1631,1228
AP5Z1_m4820814,AP5Z1,2,265,251,242
AP5Z1_m4820843,AP5Z1,506,434,2004,1931
AP5Z1_p4815333,AP5Z1,235,304,697,827
AP5Z1_p4815342,AP5Z1,802,419,918,1299
AP5Z1_p4815360,AP5Z1,823,724,2723,2437
AP5Z1_p4815365,AP5Z1,117,214,346,865
AP5Z1_p4820793,AP5Z1,613,232,836,938
AP5Z1_p4820799,AP5Z1,465,309,1077,1164
AP5Z1_p4820822,AP5Z1,357,347,1066,1246
AP5Z1_p4820847,AP5Z1,332,111,589,763
APAF1_m99042207,APAF1,644,344,759,1504
APAF1_m99042406,APAF1,309,94,989,598
APAF1_m99042467,APAF1,1026,403,1560,1760
APAF1_m99042521,APAF1,529,467,1797,2049
APAF1_m99042528,APAF1,1058,1570,2086,2908
APAF1_p99042163,APAF1,2,56,196,291
APAF1_p99042193,APAF1,884,802,2780,2664
APAF1_p99042212,APAF1,1310,983,2574,4272
APAF1_p99042478,APAF1,264,178,698,555
APAF1_p99042511,APAF1,490,351,505,993
APEX1_m20924077,APEX1,441,323,1155,861
APEX1_m20924084,APEX1,536,201,856,754
APEX1_m20924174,APEX1,158,129,269,109
APEX1_m20924179,APEX1,557,355,1095,1585
APEX1_m20924191,APEX1,748,771,1580,409
APEX1_p20923795,APEX1,665,350,614,1148
APEX1_p20923822,APEX1,1088,1013,3785,2312
APEX1_p20924112,APEX1,2397,1835,5794,5099
APEX1_p20924130,APEX1,405,303,696,403
APEX1_p20924199,APEX1,320,425,743,166
APOA1_m116707804,APOA1,555,467,2086,1796
APOA1_m116707862,APOA1,875,312,924,1056
APOA1_m116707867,APOA1,228,313,991,866
APOA1_m116708063,APOA1,274,173,879,1067
APOA1_m116708081,APOA1,362,122,663,672
APOA1_m116708093,APOA1,175,205,415,359
APOA1_p116707778,APOA1,182,220,260,719
APOA1_p116707783,APOA1,1032,1047,2793,3045
APOA1_p116707846,APOA1,542,351,1441,1067
APOA1_p116708055,APOA1,557,395,1197,1162
APPBP2_m58603228,APPBP2,1115,668,973,2437
APPBP2_m58603271,APPBP2,168,181,416,567
APPBP2_m58603282,APPBP2,668,457,1740,1698
APPBP2_p58603174,APPBP2,1099,742,1628,2157
APPBP2_p58603183,APPBP2,907,431,1116,1577
APPBP2_p58603192,APPBP2,824,701,1600,2059
APPBP2_p58603214,APPBP2,463,421,663,1791
APPBP2_p58603220,APPBP2,221,456,548,1062
APPBP2_p58603242,APPBP2,141,146,428,435
APPBP2_p58603262,APPBP2,251,237,332,855
APTX_m32989803,APTX,1267,913,2582,2785
APTX_m32989808,APTX,235,558,1222,1023
APTX_m32989825,APTX,524,581,1350,1481
APTX_m32989853,APTX,784,671,1588,1543
APTX_m32989861,APTX,561,388,673,711
APTX_m32989874,APTX,56,192,268,766
APTX_m32989882,APTX,76,291,196,294
APTX_p32989769,APTX,471,158,774,1039
APTX_p32989776,APTX,526,484,616,880
APTX_p32989831,APTX,265,511,514,940
ARAP1_m72423377,ARAP1,633,165,1297,949
ARAP1_m72423494,ARAP1,705,487,1425,2384
ARAP1_m72423538,ARAP1,720,528,751,1647
ARAP1_m72423549,ARAP1,383,269,1016,1296
ARAP1_m72423554,ARAP1,1456,1456,2802,2312
ARAP1_m72424219,ARAP1,454,469,842,1940
ARAP1_p72423347,ARAP1,532,681,2018,2047
ARAP1_p72423559,ARAP1,478,362,876,1390
ARAP1_p72423573,ARAP1,727,355,719,1639
ARAP1_p72423578,ARAP1,352,263,616,540
ARL3_m104459180,ARL3,312,399,1012,1818
ARL3_m104459187,ARL3,2055,884,2720,2711
ARL3_m104465176,ARL3,533,164,654,1407
ARL3_m104465181,ARL3,40,142,213,35
ARL3_p104459117,ARL3,374,339,1399,1407
ARL3_p104465088,ARL3,1034,665,2367,1500
ARL3_p104465098,ARL3,360,575,1739,839
ARL3_p104465135,ARL3,163,157,701,521
ARL3_p104465161,ARL3,738,650,2101,1979
ARL3_p104465187,ARL3,169,129,199,295
ASCL3_m8959584,ASCL3,305,308,474,867
ASCL3_m8959617,ASCL3,344,176,602,834
ASCL3_m8959694,ASCL3,498,338,960,720
ASCL3_p8959588,ASCL3,694,980,2098,2706
ASCL3_p8959603,ASCL3,100,120,249,677
ASCL3_p8959609,ASCL3,477,410,886,457
ASCL3_p8959623,ASCL3,350,654,2269,2363
ASCL3_p8959634,ASCL3,789,441,1320,1410
ASCL3_p8959643,ASCL3,1136,418,2029,2986
ASCL3_p8959655,ASCL3,573,466,1221,1406
ASF1B_m14237041,ASF1B,79,150,726,784
ASF1B_m14247161,ASF1B,332,320,612,624
ASF1B_m14247168,ASF1B,609,462,676,1148
ASF1B_m14247234,ASF1B,593,588,588,1237
ASF1B_m14247240,ASF1B,166,111,306,382
ASF1B_m14247255,ASF1B,605,511,1498,1103
ASF1B_m14247261,ASF1B,917,896,3965,3232
ASF1B_p14247147,ASF1B,531,557,1427,1544
ASF1B_p14247184,ASF1B,432,325,368,957
ASF1B_p14247213,ASF1B,81,96,474,204
ASNA1_m12848388,ASNA1,453,816,1584,1494
ASNA1_m12848397,ASNA1,697,220,57,32
ASNA1_m12848473,ASNA1,522,237,119,5
ASNA1_m12849333,ASNA1,604,410,1261,2100
ASNA1_p12848360,ASNA1,504,576,1650,996
ASNA1_p12848369,ASNA1,133,267,472,476
ASNA1_p12848413,ASNA1,206,186,1001,185
ASNA1_p12848424,ASNA1,1232,1559,2476,2109
ASNA1_p12848458,ASNA1,439,429,441,305
ASNA1_p12849312,ASNA1,377,266,703,523
ASUN_m27081798,ASUN,0,14,0,33
ASUN_m27081814,ASUN,392,479,2046,1258
ASUN_m27089558,ASUN,408,415,857,245
ASUN_m27089620,ASUN,256,321,432,356
ASUN_m27089639,ASUN,293,303,704,139
ASUN_m27089664,ASUN,888,392,1371,2169
ASUN_m27089678,ASUN,357,234,1053,1494
ASUN_p27089538,ASUN,190,261,399,204
ASUN_p27089577,ASUN,206,292,2243,1321
ASUN_p27089600,ASUN,212,187,218,354
ATE1_m123683817,ATE1,1256,964,3191,2867
ATE1_m123687360,ATE1,267,282,917,1363
ATE1_m123687375,ATE1,770,267,1138,1538
ATE1_m123687396,ATE1,506,214,780,892
ATE1_m123687412,ATE1,0,0,0,0
ATE1_m123687450,ATE1,627,662,1795,2025
ATE1_m123687455,ATE1,619,702,1591,2216
ATE1_p123687346,ATE1,216,149,1482,586
ATE1_p123687379,ATE1,601,405,1147,1424
ATE1_p123687416,ATE1,441,724,2134,2222
ATF1_m51173941,ATF1,282,452,1616,1799
ATF1_m51173953,ATF1,170,302,554,402
ATF1_m51173970,ATF1,427,611,1397,1844
ATF1_m51189722,ATF1,299,561,1374,1367
ATF1_m51189734,ATF1,193,133,112,172
ATF1_p51173955,ATF1,386,381,966,1044
ATF1_p51173999,ATF1,630,374,1254,2212
ATF1_p51189693,ATF1,351,277,1663,1150
ATF1_p51189702,ATF1,353,517,1207,1169
ATF1_p51189742,ATF1,496,395,1127,948
ATM_m108098352,ATM,384,518,1169,1170
ATM_m108098389,ATM,630,759,3343,2317
ATM_m108098528,ATM,544,571,2639,2339
ATM_m108099959,ATM,490,223,709,811
ATM_p108098401,ATM,446,567,1709,1753
ATM_p108098562,ATM,187,133,502,1738
ATM_p108099966,ATM,185,243,962,938
ATM_p108099997,ATM,819,945,3392,2897
ATM_p108106443,ATM,1158,698,2196,2855
ATM_p108106455,ATM,737,687,1764,1818
ATP1A3_m42492504,ATP1A3,817,777,2065,1369
ATP1A3_m42492510,ATP1A3,1310,802,2072,2101
ATP1A3_m42492629,ATP1A3,108,91,976,310
ATP1A3_m42492635,ATP1A3,228,198,52,48
ATP1A3_m42492641,ATP1A3,369,145,584,277
ATP1A3_m42492656,ATP1A3,443,287,831,1506
ATP1A3_m42492662,ATP1A3,951,636,2004,1668
ATP1A3_m42492676,ATP1A3,227,174,774,705
ATP1A3_m42492698,ATP1A3,1110,1091,2828,1879
ATP1A3_p42492666,ATP1A3,417,188,796,724
ATPAF2_m17942241,ATPAF2,229,199,675,382
ATPAF2_m17942268,ATPAF2,227,290,417,523
ATPAF2_m17942297,ATPAF2,321,175,762,710
ATPAF2_m17942302,ATPAF2,469,507,1199,1048
ATPAF2_m17942309,ATPAF2,480,432,795,385
ATPAF2_m17942321,ATPAF2,777,722,531,361
ATPAF2_p17942181,ATPAF2,517,476,403,757
ATPAF2_p17942205,ATPAF2,444,224,358,275
ATPAF2_p17942210,ATPAF2,903,585,378,962
ATPAF2_p17942260,ATPAF2,33,25,736,593
ATXN2L_m28834592,ATXN2L,397,392,471,722
ATXN2L_m28834598,ATXN2L,467,215,520,380
ATXN2L_m28834634,ATXN2L,235,459,877,1524
ATXN2L_m28834800,ATXN2L,185,190,497,272
ATXN2L_m28834823,ATXN2L,163,285,532,1216
ATXN2L_p28834667,ATXN2L,244,344,300,109
ATXN2L_p28834675,ATXN2L,130,145,427,633
ATXN2L_p28834706,ATXN2L,451,481,833,1207
ATXN2L_p28834717,ATXN2L,51,23,155,201
ATXN2L_p28834760,ATXN2L,358,239,786,501
AUP1_m74756542,AUP1,400,183,958,1343
AUP1_m74756574,AUP1,248,426,923,1395
AUP1_m74756708,AUP1,177,277,552,376
AUP1_m74756736,AUP1,131,389,767,1927
AUP1_m74756741,AUP1,540,395,768,625
AUP1_p74756534,AUP1,506,501,401,1149
AUP1_p74756557,AUP1,366,363,822,711
AUP1_p74756585,AUP1,1048,837,1616,1588
AUP1_p74756599,AUP1,1520,1244,3461,3758
AUP1_p74756607,AUP1,290,433,1145,1225
BAG1_m33264246,BAG1,172,276,1689,447
BAG1_m33264257,BAG1,1006,546,1963,636
BAG1_m33264263,BAG1,1255,727,833,309
BAG1_m33264275,BAG1,478,256,299,609
BAG1_m33264302,BAG1,485,437,909,697
BAG1_m33264311,BAG1,965,839,1756,2939
BAG1_p33262809,BAG1,303,243,931,561
BAG1_p33264216,BAG1,497,656,1619,1818
BAG1_p33264281,BAG1,449,431,1083,1020
BAG1_p33264293,BAG1,0,126,198,263
BAIAP2L1_m97984427,BAIAP2L1,427,507,1301,1851
BAIAP2L1_m97991670,BAIAP2L1,169,47,417,327
BAIAP2L1_m97991698,BAIAP2L1,94,136,363,125
BAIAP2L1_m97991720,BAIAP2L1,286,541,948,1189
BAIAP2L1_m97991737,BAIAP2L1,307,209,806,986
BAIAP2L1_m98030115,BAIAP2L1,859,654,1243,2524
BAIAP2L1_m98030130,BAIAP2L1,1000,715,1876,1710
BAIAP2L1_m98030157,BAIAP2L1,524,169,1367,1685
BAIAP2L1_p97991700,BAIAP2L1,0,47,101,123
BAIAP2L1_p98030098,BAIAP2L1,96,126,108,455
BANP_m88008741,BANP,169,193,686,1071
BANP_m88008746,BANP,625,369,1372,1907
BANP_m88008780,BANP,557,393,646,674
BANP_m88017843,BANP,1095,619,2699,3480
BANP_p88008708,BANP,623,336,1192,1215
BANP_p88008720,BANP,531,509,844,546
BANP_p88008729,BANP,586,386,507,578
BANP_p88008769,BANP,1524,1699,2123,1628
BANP_p88039684,BANP,789,524,2115,2020
BANP_p88039691,BANP,1054,513,901,1139
BARD1_m215674207,BARD1,495,501,1351,805
BARD1_m215674245,BARD1,443,302,728,656
BARD1_m215674266,BARD1,269,244,706,1422
BARD1_m215674272,BARD1,430,245,824,564
BARD1_m215674281,BARD1,299,316,1697,1021
BARD1_p215674213,BARD1,272,182,596,433
BARD1_p215674224,BARD1,503,255,990,1490
BARD1_p215674229,BARD1,130,131,915,415
BARD1_p215674237,BARD1,586,299,1045,1586
BARD1_p215674252,BARD1,291,94,634,647
BAZ1B_m72936208,BAZ1B,319,280,93,367
BAZ1B_m72936213,BAZ1B,507,622,1816,3083
BAZ1B_m72936249,BAZ1B,344,327,1500,1399
BAZ1B_p72936180,BAZ1B,229,387,611,1074
BAZ1B_p72936191,BAZ1B,482,105,516,1473
BAZ1B_p72936198,BAZ1B,317,132,246,552
BAZ1B_p72936215,BAZ1B,607,468,849,1346
BAZ1B_p72936223,BAZ1B,346,247,557,1700
BAZ1B_p72936229,BAZ1B,424,172,280,785
BAZ1B_p72936234,BAZ1B,444,413,662,1171
BBX_m107429397,BBX,805,313,1085,1331
BBX_m107435472,BBX,185,167,937,1119
BBX_m107435479,BBX,593,443,1559,1987
BBX_p107429292,BBX,543,526,1821,1821
BBX_p107429309,BBX,316,139,641,996
BBX_p107429325,BBX,615,615,1716,2035
BBX_p107429331,BBX,691,496,832,1350
BBX_p107429447,BBX,519,221,1010,1791
BBX_p107435444,BBX,157,101,664,897
BBX_p107435511,BBX,638,475,1899,2006
BCAS3_m58756847,BCAS3,218,263,593,384
BCAS3_m58756891,BCAS3,802,740,2021,3182
BCAS3_m58761353,BCAS3,379,392,1011,615
BCAS3_p58756851,BCAS3,665,427,1737,1814
BCAS3_p58756859,BCAS3,441,976,2405,3130
BCAS3_p58761336,BCAS3,101,274,459,830
BCAS3_p58761375,BCAS3,1075,1016,1778,2533
BCAS3_p58767034,BCAS3,561,395,850,1298
BCAS3_p58786574,BCAS3,796,469,1339,2307
BCAS3_p58786599,BCAS3,529,247,810,1262
BCL2L1_m30309853,BCL2L1,270,395,488,1290
BCL2L1_m30309888,BCL2L1,543,396,1197,327
BCL2L1_m30309915,BCL2L1,1378,830,1977,1609
BCL2L1_m30309922,BCL2L1,1107,927,2120,806
BCL2L1_m30309933,BCL2L1,750,802,1149,527
BCL2L1_m30309996,BCL2L1,183,290,428,108
BCL2L1_p30309856,BCL2L1,422,259,778,411
BCL2L1_p30309945,BCL2L1,710,364,1541,908
BCL2L1_p30309958,BCL2L1,50,64,160,0
BCL2L1_p30309984,BCL2L1,73,45,0,46
BCL9L_m118779199,BCL9L,595,558,521,1198
BCL9L_m118779231,BCL9L,1598,902,2685,3159
BCL9L_m118780638,BCL9L,509,419,1464,1127
BCL9L_p118779191,BCL9L,62,20,516,188
BCL9L_p118779203,BCL9L,481,275,953,1756
BCL9L_p118779234,BCL9L,601,389,1654,2195
BCL9L_p118779268,BCL9L,253,626,762,1215
BCL9L_p118779330,BCL9L,159,324,482,981
BCL9L_p118780617,BCL9L,868,889,2175,2831
BCL9L_p118780627,BCL9L,239,207,620,1704
BDH1_m197260361,BDH1,351,282,1474,950
BDH1_m197260367,BDH1,255,248,812,492
BDH1_m197260393,BDH1,97,116,162,728
BDH1_m197260417,BDH1,683,340,2090,2365
BDH1_p197260353,BDH1,138,280,868,1178
BDH1_p197260375,BDH1,686,524,1941,2316
BDH1_p197260383,BDH1,994,777,1874,2129
BDH1_p197260405,BDH1,467,674,1061,1813
BDH1_p197273241,BDH1,235,272,802,1174
BDH1_p197273293,BDH1,669,510,1825,1464
BECN1_m40975767,BECN1,1356,770,3433,3242
BECN1_m40975795,BECN1,228,445,1648,1395
BECN1_m40975889,BECN1,882,614,947,1759
BECN1_p40972824,BECN1,386,186,552,604
BECN1_p40972834,BECN1,495,373,1320,1162
BECN1_p40975756,BECN1,916,480,2137,2614
BECN1_p40975774,BECN1,733,334,1163,1179
BECN1_p40975802,BECN1,582,708,1686,2395
BECN1_p40975841,BECN1,245,440,651,292
BECN1_p40975853,BECN1,149,218,465,982
BHLHE40_m5021436,BHLHE40,201,175,642,893
BHLHE40_m5021449,BHLHE40,620,872,2088,3059
BHLHE40_m5021457,BHLHE40,366,285,367,941
BHLHE40_m5021477,BHLHE40,434,241,886,656
BHLHE40_m5021655,BHLHE40,877,432,2507,2320
BHLHE40_m5021660,BHLHE40,217,403,734,624
BHLHE40_p5021389,BHLHE40,406,193,842,785
BHLHE40_p5021441,BHLHE40,573,453,1974,2848
BHLHE40_p5021460,BHLHE40,306,315,1055,1279
BHLHE40_p5021666,BHLHE40,433,313,1158,1545
BIN1_m127828387,BIN1,219,116,660,616
BIN1_m127834268,BIN1,383,105,964,518
BIN1_m127864437,BIN1,333,127,626,792
BIN1_m127864443,BIN1,395,339,1642,1158
BIN1_m127864498,BIN1,1226,861,3217,3527
BIN1_m127864508,BIN1,462,177,918,1535
BIN1_p127834200,BIN1,70,107,523,587
BIN1_p127834228,BIN1,247,152,427,899
BIN1_p127864429,BIN1,328,99,544,856
BIN1_p127864453,BIN1,288,291,1122,1219
BLM_m91292672,BLM,68,161,340,340
BLM_m91292715,BLM,508,586,1404,1453
BLM_m91292726,BLM,520,480,1181,1679
BLM_m91292732,BLM,351,307,898,1790
BLM_m91292739,BLM,187,312,2087,2361
BLM_m91292780,BLM,110,84,80,1
BLM_m91292825,BLM,288,426,1166,1208
BLM_m91292843,BLM,238,204,607,1017
BLM_p91292783,BLM,998,633,411,305
BLM_p91292871,BLM,101,177,465,814
