Gene	sgRNA	eff
ALKBH8	ALKBH8_m107431521	1
ALKBH8	ALKBH8_m107431562	1
ALKBH8	ALKBH8_p107427693	1
ALKBH8	ALKBH8_p107431481	1
ALKBH8	ALKBH8_p107431523	1
ALKBH8	ALKBH8_p107431585	1
ANG	ANG_m21161782	1
ANG	ANG_m21161790	1
ANG	ANG_m21161808	1
ANG	ANG_m21161824	1
ANG	ANG_m21161829	1
ANG	ANG_p21161710	1
ANG	ANG_p21161716	1
ANG	ANG_p21161743	1
ANG	ANG_p21161749	1
ANG	ANG_p21161835	1
ANKRD28	ANKRD28_m15762614	1
ANKRD28	ANKRD28_m15765934	1
ANKRD28	ANKRD28_m15765977	1
ANKRD28	ANKRD28_m15765997	1
ANKRD28	ANKRD28_m15776931	1
ANKRD28	ANKRD28_m15776981	1
ANKRD28	ANKRD28_p15762602	1
ANKRD28	ANKRD28_p15765918	1
ANKRD28	ANKRD28_p15776913	1
ANKRD28	ANKRD28_p15776985	1
ANKRD49	ANKRD49_m94230080	1
ANKRD49	ANKRD49_m94231243	1
ANKRD49	ANKRD49_m94231375	1
ANKRD49	ANKRD49_m94231441	1
ANKRD49	ANKRD49_p94229927	1
ANKRD49	ANKRD49_p94231228	1
ANKRD49	ANKRD49_p94231267	1
ANKRD49	ANKRD49_p94231331	1
ANKRD49	ANKRD49_p94231346	1
ANKRD49	ANKRD49_p94231408	1
ANLN	ANLN_m36435893	1
ANLN	ANLN_m36435899	1
ANLN	ANLN_m36435937	1
ANLN	ANLN_m36435949	1
ANLN	ANLN_m36435985	1
ANLN	ANLN_m36436013	1
ANLN	ANLN_p36435861	1
ANLN	ANLN_p36435878	1
ANLN	ANLN_p36435929	1
ANLN	ANLN_p36438739	1
AP5Z1	AP5Z1_m4820814	1
AP5Z1	AP5Z1_m4820843	1
AP5Z1	AP5Z1_p4815333	1
AP5Z1	AP5Z1_p4815342	1
AP5Z1	AP5Z1_p4815360	1
AP5Z1	AP5Z1_p4815365	1
AP5Z1	AP5Z1_p4820793	1
AP5Z1	AP5Z1_p4820799	1
AP5Z1	AP5Z1_p4820822	1
AP5Z1	AP5Z1_p4820847	1
APAF1	APAF1_m99042207	1
APAF1	APAF1_m99042406	1
APAF1	APAF1_m99042467	1
APAF1	APAF1_m99042521	1
APAF1	APAF1_m99042528	1
APAF1	APAF1_p99042163	1
APAF1	APAF1_p99042193	1
APAF1	APAF1_p99042212	1
APAF1	APAF1_p99042478	1
APAF1	APAF1_p99042511	1
APEX1	APEX1_m20924077	1
APEX1	APEX1_m20924084	1
APEX1	APEX1_m20924174	1
APEX1	APEX1_m20924179	1
APEX1	APEX1_m20924191	1
APEX1	APEX1_p20923795	1
APEX1	APEX1_p20923822	1
APEX1	APEX1_p20924112	1
APEX1	APEX1_p20924130	1
APEX1	APEX1_p20924199	1
APOA1	APOA1_m116707804	1
APOA1	APOA1_m116707862	1
APOA1	APOA1_m116707867	1
APOA1	APOA1_m116708063	1
APOA1	APOA1_m116708081	1
APOA1	APOA1_m116708093	1
APOA1	APOA1_p116707778	1
APOA1	APOA1_p116707783	1
APOA1	APOA1_p116707846	1
APOA1	APOA1_p116708055	1
APPBP2	APPBP2_m58603228	1
APPBP2	APPBP2_m58603271	1
APPBP2	APPBP2_m58603282	1
APPBP2	APPBP2_p58603174	1
APPBP2	APPBP2_p58603183	1
APPBP2	APPBP2_p58603192	1
APPBP2	APPBP2_p58603214	1
APPBP2	APPBP2_p58603220	1
APPBP2	APPBP2_p58603242	1
APPBP2	APPBP2_p58603262	1
APTX	APTX_m32989803	1
APTX	APTX_m32989808	1
APTX	APTX_m32989825	1
APTX	APTX_m32989853	1
APTX	APTX_m32989861	1
APTX	APTX_m32989874	1
APTX	APTX_m32989882	1
APTX	APTX_p32989769	1
APTX	APTX_p32989776	1
APTX	APTX_p32989831	1
ARAP1	ARAP1_m72423377	1
ARAP1	ARAP1_m72423494	1
ARAP1	ARAP1_m72423538	1
ARAP1	ARAP1_m72423549	1
ARAP1	ARAP1_m72423554	1
ARAP1	ARAP1_m72424219	1
ARAP1	ARAP1_p72423347	1
ARAP1	ARAP1_p72423559	1
ARAP1	ARAP1_p72423573	1
ARAP1	ARAP1_p72423578	1
ARL3	ARL3_m104459180	1
ARL3	ARL3_m104459187	1
ARL3	ARL3_m104465176	1
ARL3	ARL3_m104465181	1
ARL3	ARL3_p104459117	1
ARL3	ARL3_p104465088	1
ARL3	ARL3_p104465098	1
ARL3	ARL3_p104465135	1
ARL3	ARL3_p104465161	1
ARL3	ARL3_p104465187	1
ASCL3	ASCL3_m8959584	1
ASCL3	ASCL3_m8959617	1
ASCL3	ASCL3_m8959694	1
ASCL3	ASCL3_p8959588	1
ASCL3	ASCL3_p8959603	1
ASCL3	ASCL3_p8959609	1
ASCL3	ASCL3_p8959623	1
ASCL3	ASCL3_p8959634	1
ASCL3	ASCL3_p8959643	1
ASCL3	ASCL3_p8959655	1
ASF1B	ASF1B_m14237041	1
ASF1B	ASF1B_m14247161	1
ASF1B	ASF1B_m14247168	1
ASF1B	ASF1B_m14247234	1
ASF1B	ASF1B_m14247240	1
ASF1B	ASF1B_m14247255	1
ASF1B	ASF1B_m14247261	1
ASF1B	ASF1B_p14247147	1
ASF1B	ASF1B_p14247184	1
ASF1B	ASF1B_p14247213	1
ASNA1	ASNA1_m12848388	1
ASNA1	ASNA1_m12848397	1
ASNA1	ASNA1_m12848473	1
ASNA1	ASNA1_m12849333	1
ASNA1	ASNA1_p12848360	1
ASNA1	ASNA1_p12848369	1
ASNA1	ASNA1_p12848413	1
ASNA1	ASNA1_p12848424	1
ASNA1	ASNA1_p12848458	1
ASNA1	ASNA1_p12849312	1
ASUN	ASUN_m27081798	1
ASUN	ASUN_m27081814	1
ASUN	ASUN_m27089558	1
ASUN	ASUN_m27089620	1
ASUN	ASUN_m27089639	1
ASUN	ASUN_m27089664	1
ASUN	ASUN_m27089678	1
ASUN	ASUN_p27089538	1
ASUN	ASUN_p27089577	1
ASUN	ASUN_p27089600	1
ATE1	ATE1_m123683817	1
ATE1	ATE1_m123687360	1
ATE1	ATE1_m123687375	1
ATE1	ATE1_m123687396	1
ATE1	ATE1_m123687412	1
ATE1	ATE1_m123687450	1
ATE1	ATE1_m123687455	1
ATE1	ATE1_p123687346	1
ATE1	ATE1_p123687379	1
ATE1	ATE1_p123687416	1
ATF1	ATF1_m51173941	1
ATF1	ATF1_m51173953	1
ATF1	ATF1_m51173970	1
ATF1	ATF1_m51189722	1
ATF1	ATF1_m51189734	1
ATF1	ATF1_p51173955	1
ATF1	ATF1_p51173999	1
ATF1	ATF1_p51189693	1
ATF1	ATF1_p51189702	1
ATF1	ATF1_p51189742	1
ATM	ATM_m108098352	1
ATM	ATM_m108098389	1
ATM	ATM_m108098528	1
ATM	ATM_m108099959	1
ATM	ATM_p108098401	1
ATM	ATM_p108098562	1
ATM	ATM_p108099966	1
ATM	ATM_p108099997	1
ATM	ATM_p108106443	1
ATM	ATM_p108106455	1
ATP1A3	ATP1A3_m42492504	1
ATP1A3	ATP1A3_m42492510	1
ATP1A3	ATP1A3_m42492629	1
ATP1A3	ATP1A3_m42492635	1
ATP1A3	ATP1A3_m42492641	1
ATP1A3	ATP1A3_m42492656	1
ATP1A3	ATP1A3_m42492662	1
ATP1A3	ATP1A3_m42492676	1
ATP1A3	ATP1A3_m42492698	1
ATP1A3	ATP1A3_p42492666	1
ATPAF2	ATPAF2_m17942241	1
ATPAF2	ATPAF2_m17942268	1
ATPAF2	ATPAF2_m17942297	1
ATPAF2	ATPAF2_m17942302	1
ATPAF2	ATPAF2_m17942309	1
ATPAF2	ATPAF2_m17942321	1
ATPAF2	ATPAF2_p17942181	1
ATPAF2	ATPAF2_p17942205	1
ATPAF2	ATPAF2_p17942210	1
ATPAF2	ATPAF2_p17942260	1
ATXN2L	ATXN2L_m28834592	1
ATXN2L	ATXN2L_m28834598	1
ATXN2L	ATXN2L_m28834634	1
ATXN2L	ATXN2L_m28834800	1
ATXN2L	ATXN2L_m28834823	1
ATXN2L	ATXN2L_p28834667	1
ATXN2L	ATXN2L_p28834675	1
ATXN2L	ATXN2L_p28834706	1
ATXN2L	ATXN2L_p28834717	1
ATXN2L	ATXN2L_p28834760	1
AUP1	AUP1_m74756542	1
AUP1	AUP1_m74756574	1
AUP1	AUP1_m74756708	1
AUP1	AUP1_m74756736	1
AUP1	AUP1_m74756741	1
AUP1	AUP1_p74756534	1
AUP1	AUP1_p74756557	1
AUP1	AUP1_p74756585	1
AUP1	AUP1_p74756599	1
AUP1	AUP1_p74756607	1
BAG1	BAG1_m33264246	1
BAG1	BAG1_m33264257	1
BAG1	BAG1_m33264263	1
BAG1	BAG1_m33264275	1
BAG1	BAG1_m33264302	1
BAG1	BAG1_m33264311	1
BAG1	BAG1_p33262809	1
BAG1	BAG1_p33264216	1
BAG1	BAG1_p33264281	1
BAG1	BAG1_p33264293	1
BAIAP2L1	BAIAP2L1_m97984427	1
BAIAP2L1	BAIAP2L1_m97991670	1
BAIAP2L1	BAIAP2L1_m97991698	1
BAIAP2L1	BAIAP2L1_m97991720	1
BAIAP2L1	BAIAP2L1_m97991737	1
BAIAP2L1	BAIAP2L1_m98030115	1
BAIAP2L1	BAIAP2L1_m98030130	1
BAIAP2L1	BAIAP2L1_m98030157	1
BAIAP2L1	BAIAP2L1_p97991700	1
BAIAP2L1	BAIAP2L1_p98030098	1
BANP	BANP_m88008741	1
BANP	BANP_m88008746	1
BANP	BANP_m88008780	1
BANP	BANP_m88017843	1
BANP	BANP_p88008708	1
BANP	BANP_p88008720	1
BANP	BANP_p88008729	1
BANP	BANP_p88008769	1
BANP	BANP_p88039684	1
BANP	BANP_p88039691	1
BARD1	BARD1_m215674207	1
BARD1	BARD1_m215674245	1
BARD1	BARD1_m215674266	1
BARD1	BARD1_m215674272	1
BARD1	BARD1_m215674281	1
BARD1	BARD1_p215674213	1
BARD1	BARD1_p215674224	1
BARD1	BARD1_p215674229	1
BARD1	BARD1_p215674237	1
BARD1	BARD1_p215674252	1
BAZ1B	BAZ1B_m72936208	1
BAZ1B	BAZ1B_m72936213	1
BAZ1B	BAZ1B_m72936249	1
BAZ1B	BAZ1B_p72936180	1
BAZ1B	BAZ1B_p72936191	1
BAZ1B	BAZ1B_p72936198	1
BAZ1B	BAZ1B_p72936215	1
BAZ1B	BAZ1B_p72936223	1
BAZ1B	BAZ1B_p72936229	1
BAZ1B	BAZ1B_p72936234	1
BBX	BBX_m107429397	1
BBX	BBX_m107435472	1
BBX	BBX_m107435479	1
BBX	BBX_p107429292	1
BBX	BBX_p107429309	1
BBX	BBX_p107429325	1
BBX	BBX_p107429331	1
BBX	BBX_p107429447	1
BBX	BBX_p107435444	1
BBX	BBX_p107435511	1
BCAS3	BCAS3_m58756847	1
BCAS3	BCAS3_m58756891	1
BCAS3	BCAS3_m58761353	1
BCAS3	BCAS3_p58756851	1
BCAS3	BCAS3_p58756859	1
BCAS3	BCAS3_p58761336	1
BCAS3	BCAS3_p58761375	1
BCAS3	BCAS3_p58767034	1
BCAS3	BCAS3_p58786574	1
BCAS3	BCAS3_p58786599	1
BCL2L1	BCL2L1_m30309853	1
BCL2L1	BCL2L1_m30309888	1
BCL2L1	BCL2L1_m30309915	1
BCL2L1	BCL2L1_m30309922	1
BCL2L1	BCL2L1_m30309933	1
BCL2L1	BCL2L1_m30309996	1
BCL2L1	BCL2L1_p30309856	1
BCL2L1	BCL2L1_p30309945	1
BCL2L1	BCL2L1_p30309958	1
BCL2L1	BCL2L1_p30309984	1
BCL9L	BCL9L_m118779199	1
BCL9L	BCL9L_m118779231	1
BCL9L	BCL9L_m118780638	1
BCL9L	BCL9L_p118779191	1
BCL9L	BCL9L_p118779203	1
BCL9L	BCL9L_p118779234	1
BCL9L	BCL9L_p118779268	1
BCL9L	BCL9L_p118779330	1
BCL9L	BCL9L_p118780617	1
BCL9L	BCL9L_p118780627	1
BDH1	BDH1_m197260361	1
BDH1	BDH1_m197260367	1
BDH1	BDH1_m197260393	1
BDH1	BDH1_m197260417	1
BDH1	BDH1_p197260353	1
BDH1	BDH1_p197260375	1
BDH1	BDH1_p197260383	1
BDH1	BDH1_p197260405	1
BDH1	BDH1_p197273241	1
BDH1	BDH1_p197273293	1
BECN1	BECN1_m40975767	1
BECN1	BECN1_m40975795	1
BECN1	BECN1_m40975889	1
BECN1	BECN1_p40972824	1
BECN1	BECN1_p40972834	1
BECN1	BECN1_p40975756	1
BECN1	BECN1_p40975774	1
BECN1	BECN1_p40975802	1
BECN1	BECN1_p40975841	1
BECN1	BECN1_p40975853	1
BHLHE40	BHLHE40_m5021436	1
BHLHE40	BHLHE40_m5021449	1
BHLHE40	BHLHE40_m5021457	1
BHLHE40	BHLHE40_m5021477	1
BHLHE40	BHLHE40_m5021655	1
BHLHE40	BHLHE40_m5021660	1
BHLHE40	BHLHE40_p5021389	1
BHLHE40	BHLHE40_p5021441	1
BHLHE40	BHLHE40_p5021460	1
BHLHE40	BHLHE40_p5021666	1
BIN1	BIN1_m127828387	1
BIN1	BIN1_m127834268	1
BIN1	BIN1_m127864437	1
BIN1	BIN1_m127864443	1
BIN1	BIN1_m127864498	1
BIN1	BIN1_m127864508	1
BIN1	BIN1_p127834200	1
BIN1	BIN1_p127834228	1
BIN1	BIN1_p127864429	1
BIN1	BIN1_p127864453	1
BLM	BLM_m91292672	1
BLM	BLM_m91292715	1
BLM	BLM_m91292726	1
BLM	BLM_m91292732	1
BLM	BLM_m91292739	1
BLM	BLM_m91292780	1
BLM	BLM_m91292825	1
BLM	BLM_m91292843	1
BLM	BLM_p91292783	1
BLM	BLM_p91292871	1
BLZF1	BLZF1_m169345796	1
BLZF1	BLZF1_m169345917	1
BLZF1	BLZF1_m169346001	1
BLZF1	BLZF1_p169345799	1
BLZF1	BLZF1_p169345808	1
BLZF1	BLZF1_p169345839	1
BLZF1	BLZF1_p169345879	1
BLZF1	BLZF1_p169345908	1
BLZF1	BLZF1_p169345923	1
BLZF1	BLZF1_p169346033	1
BRAT1	BRAT1_m2593963	1
BRAT1	BRAT1_m2593968	1
BRAT1	BRAT1_m2593980	1
BRAT1	BRAT1_m2593998	1
BRAT1	BRAT1_m2594008	1
BRAT1	BRAT1_m2594037	1
BRAT1	BRAT1_p2587086	1
BRAT1	BRAT1_p2593987	1
BRAT1	BRAT1_p2594015	1
BRAT1	BRAT1_p2594025	1
BRCA2	BRCA2_m32893224	1
BRCA2	BRCA2_m32893266	1
BRCA2	BRCA2_m32893284	1
BRCA2	BRCA2_m32893341	1
BRCA2	BRCA2_m32893380	1
BRCA2	BRCA2_m32893413	1
BRCA2	BRCA2_p32890598	1
BRCA2	BRCA2_p32890642	1
BRCA2	BRCA2_p32893216	1
BRCA2	BRCA2_p32893346	1
BRIX1	BRIX1_m34915927	1
BRIX1	BRIX1_p34915844	1
BRIX1	BRIX1_p34915849	1
BRIX1	BRIX1_p34915866	1
BRIX1	BRIX1_p34915916	1
BRIX1	BRIX1_p34915932	1
BRIX1	BRIX1_p34915938	1
BRIX1	BRIX1_p34915958	1
BRIX1	BRIX1_p34915966	1
BRIX1	BRIX1_p34918524	1
BRMS1L	BRMS1L_m36295763	1
BRMS1L	BRMS1L_m36295813	1
BRMS1L	BRMS1L_m36300693	1
BRMS1L	BRMS1L_p36295720	1
BRMS1L	BRMS1L_p36295754	1
BRMS1L	BRMS1L_p36295817	1
BRMS1L	BRMS1L_p36295826	1
BRMS1L	BRMS1L_p36295842	1
BRMS1L	BRMS1L_p36300628	1
BRMS1L	BRMS1L_p36300637	1
BTBD8	BTBD8_m92546218	1
BTBD8	BTBD8_m92546232	1
BTBD8	BTBD8_m92546265	1
BTBD8	BTBD8_m92554275	1
BTBD8	BTBD8_p92546119	1
BTBD8	BTBD8_p92546175	1
BTBD8	BTBD8_p92546223	1
BTBD8	BTBD8_p92546244	1
BTBD8	BTBD8_p92546255	1
BTBD8	BTBD8_p92554241	1
BTD	BTD_m15676929	1
BTD	BTD_p15643356	1
BTD	BTD_p15643364	1
BTD	BTD_p15643379	1
BTD	BTD_p15676915	1
BTD	BTD_p15676931	1
BTD	BTD_p15676975	1
BTD	BTD_p15676984	1
BTD	BTD_p15676997	1
BTD	BTD_p15677026	1
BTG4	BTG4_m111368075	1
BTG4	BTG4_m111368750	1
BTG4	BTG4_m111368765	1
BTG4	BTG4_m111369330	1
BTG4	BTG4_m111369342	1
BTG4	BTG4_m111369366	1
BTG4	BTG4_p111368096	1
BTG4	BTG4_p111368718	1
BTG4	BTG4_p111368733	1
BTG4	BTG4_p111368756	1
BTK	BTK_m100629564	1
BTK	BTK_m100629605	1
BTK	BTK_m100629617	1
BTK	BTK_m100630134	1
BTK	BTK_m100630256	1
BTK	BTK_p100630137	1
BTK	BTK_p100630152	1
BTK	BTK_p100630166	1
BTK	BTK_p100630186	1
BTK	BTK_p100630245	1
C10orf114	C10orf114_m21784732	1
C10orf114	C10orf114_m21784799	1
C10orf114	C10orf114_m21785680	1
C10orf114	C10orf114_m21785704	1
C10orf114	C10orf114_m21785709	1
C10orf114	C10orf114_m21785719	1
C10orf114	C10orf114_m21785733	1
C10orf114	C10orf114_p21784735	1
C10orf114	C10orf114_p21784741	1
C10orf114	C10orf114_p21784822	1
C10orf118	C10orf118_m115922661	1
C10orf118	C10orf118_m115922669	1
C10orf118	C10orf118_m115922803	1
C10orf118	C10orf118_m115922831	1
C10orf118	C10orf118_p115922586	1
C10orf118	C10orf118_p115922794	1
C10orf118	C10orf118_p115922839	1
C10orf118	C10orf118_p115922880	1
C10orf118	C10orf118_p115922947	1
C10orf118	C10orf118_p115922990	1
C10orf137	C10orf137_m127408425	1
C10orf137	C10orf137_m127408447	1
C10orf137	C10orf137_m127408455	1
C10orf137	C10orf137_m127409813	1
C10orf137	C10orf137_m127409840	1
C10orf137	C10orf137_p127408384	1
C10orf137	C10orf137_p127408435	1
C10orf137	C10orf137_p127408462	1
C10orf137	C10orf137_p127409769	1
C10orf137	C10orf137_p127409798	1
C10orf82	C10orf82_m118425232	1
C10orf82	C10orf82_m118425301	1
C10orf82	C10orf82_m118427770	1
C10orf82	C10orf82_m118427779	1
C10orf82	C10orf82_p118425281	1
C10orf82	C10orf82_p118425292	1
C10orf82	C10orf82_p118425306	1
C10orf82	C10orf82_p118427758	1
C10orf82	C10orf82_p118427784	1
C10orf82	C10orf82_p118427790	1
C11orf49	C11orf49_m46958376	1
C11orf49	C11orf49_m46958381	1
C11orf49	C11orf49_m46958386	1
C11orf49	C11orf49_m47008774	1
C11orf49	C11orf49_m47008779	1
C11orf49	C11orf49_p46958346	1
C11orf49	C11orf49_p46958364	1
C11orf49	C11orf49_p47008762	1
C11orf49	C11orf49_p47008814	1
C11orf49	C11orf49_p47008824	1
C11orf53	C11orf53_m111154916	1
C11orf53	C11orf53_m111154922	1
C11orf53	C11orf53_m111154932	1
C11orf53	C11orf53_m111154948	1
C11orf53	C11orf53_p111152143	1
C11orf53	C11orf53_p111154786	1
C11orf53	C11orf53_p111154796	1
C11orf53	C11orf53_p111154805	1
C11orf53	C11orf53_p111154885	1
C11orf53	C11orf53_p111154939	1
C11orf54	C11orf54_m93480592	1
C11orf54	C11orf54_m93483551	1
C11orf54	C11orf54_m93483572	1
C11orf54	C11orf54_m93486891	1
C11orf54	C11orf54_p93483500	1
C11orf54	C11orf54_p93483530	1
C11orf54	C11orf54_p93483563	1
C11orf54	C11orf54_p93486861	1
C11orf54	C11orf54_p93487137	1
C11orf54	C11orf54_p93487143	1
C11orf74	C11orf74_m36631663	1
C11orf74	C11orf74_m36669640	1
C11orf74	C11orf74_m36669645	1
C11orf74	C11orf74_m36680652	1
C11orf74	C11orf74_m36680711	1
C11orf74	C11orf74_p36631694	1
C11orf74	C11orf74_p36669561	1
C11orf74	C11orf74_p36669575	1
C11orf74	C11orf74_p36669683	1
C11orf74	C11orf74_p36680678	1
C11orf86	C11orf86_m66742834	1
C11orf86	C11orf86_m66742873	1
C11orf86	C11orf86_m66742878	1
C11orf86	C11orf86_m66742915	1
C11orf86	C11orf86_m66742925	1
C11orf86	C11orf86_m66742931	1
C11orf86	C11orf86_m66742969	1
C11orf86	C11orf86_p66742821	1
