depmap_id,log_copy_number,entrez_id,gene_name,cell_line_name,primary_disease,lineage,lineage_subtype,hover.string
ACH-000774,1.090001234023622,1017,CDK2,RERF-LC-Ad2,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> RERF-LC-Ad2</br><b>log2(Copy Number):</b> 1.090</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-001647,1.0128093656512018,1017,CDK2,SHI-1,Leukemia,blood,AML,</br><b>Cell Line:</b> SHI-1</br><b>log2(Copy Number):</b> 1.013</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-001738,1.0055400965898975,1017,CDK2,CCRF-CEM,Leukemia,blood,ALL,</br><b>Cell Line:</b> CCRF-CEM</br><b>log2(Copy Number):</b> 1.006</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-000865,1.2299405955545044,1017,CDK2,KYSE-450,Esophageal Cancer,esophagus,esophagus_squamous,</br><b>Cell Line:</b> KYSE-450</br><b>log2(Copy Number):</b> 1.230</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
ACH-001338,0.9988259780809732,1017,CDK2,CHP-134,Neuroblastoma,peripheral_nervous_system,neuroblastoma,</br><b>Cell Line:</b> CHP-134</br><b>log2(Copy Number):</b> 0.999</br><b>Lineage:</b> peripheral_nervous_system</br><b>Disease:</b> Neuroblastoma
ACH-000015,1.0977323526112803,1017,CDK2,NCI-H1581,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> NCI-H1581</br><b>log2(Copy Number):</b> 1.098</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000126,1.1149332323294587,1017,CDK2,KG-1-C,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> KG-1-C</br><b>log2(Copy Number):</b> 1.115</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-001385,1.0024896444771796,1017,CDK2,RPMI 2650,Head and Neck Cancer,upper_aerodigestive,upper_aerodigestive_squamous,</br><b>Cell Line:</b> RPMI 2650</br><b>log2(Copy Number):</b> 1.002</br><b>Lineage:</b> upper_aerodigestive</br><b>Disease:</b> Head and Neck Cancer
ACH-001835,1.0208064034121356,1017,CDK2,ICC10-6,Bile Duct Cancer,bile_duct,cholangiocarcinoma,</br><b>Cell Line:</b> ICC10-6</br><b>log2(Copy Number):</b> 1.021</br><b>Lineage:</b> bile_duct</br><b>Disease:</b> Bile Duct Cancer
ACH-000883,0.8954438520385577,1017,CDK2,SW 1783,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> SW 1783</br><b>log2(Copy Number):</b> 0.895</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-002262,0.9977777142132958,1017,CDK2,KY821,Leukemia,blood,AML,</br><b>Cell Line:</b> KY821</br><b>log2(Copy Number):</b> 0.998</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-001086,1.1030700783894984,1017,CDK2,NA,Cervical Cancer,cervix,cervical_carcinoma,</br><b>Cell Line:</b> NA</br><b>log2(Copy Number):</b> 1.103</br><b>Lineage:</b> cervix</br><b>Disease:</b> Cervical Cancer
ACH-000217,0.983321535454776,1017,CDK2,JHH-6,Liver Cancer,liver,hepatocellular_carcinoma,</br><b>Cell Line:</b> JHH-6</br><b>log2(Copy Number):</b> 0.983</br><b>Lineage:</b> liver</br><b>Disease:</b> Liver Cancer
