dependency,entrez_id,gene_name,depmap_id,cell_line_name,primary_disease,lineage,lineage_subtype,hover.string
-0.118366384193,1017,CDK2,ACH-000384,SW 780,Bladder Cancer,urinary_tract,bladder_carcinoma,</br><b>Cell Line:</b> SW 780</br><b>Dependency:</b> -0.118</br><b>Lineage:</b> urinary_tract</br><b>Disease:</b> Bladder Cancer
-0.208797951022,1017,CDK2,ACH-000421,SW837,Colon/Colorectal Cancer,colorectal,colorectal_adenocarcinoma,</br><b>Cell Line:</b> SW837</br><b>Dependency:</b> -0.209</br><b>Lineage:</b> colorectal</br><b>Disease:</b> Colon/Colorectal Cancer
-0.227893992435,1017,CDK2,ACH-000680,SW948,Colon/Colorectal Cancer,colorectal,colorectal_adenocarcinoma,</br><b>Cell Line:</b> SW948</br><b>Dependency:</b> -0.228</br><b>Lineage:</b> colorectal</br><b>Disease:</b> Colon/Colorectal Cancer
-0.107430789953,1017,CDK2,ACH-001275,SYO1,Sarcoma,soft_tissue,synovial_sarcoma,</br><b>Cell Line:</b> SYO1</br><b>Dependency:</b> -0.107</br><b>Lineage:</b> soft_tissue</br><b>Disease:</b> Sarcoma
-0.243454224698,1017,CDK2,ACH-000018,T24,Bladder Cancer,urinary_tract,bladder_carcinoma,</br><b>Cell Line:</b> T24</br><b>Dependency:</b> -0.243</br><b>Lineage:</b> urinary_tract</br><b>Disease:</b> Bladder Cancer
-0.296149202174,1017,CDK2,ACH-000147,T-47D,Breast Cancer,breast,breast_ductal_carcinoma,</br><b>Cell Line:</b> T-47D</br><b>Dependency:</b> -0.296</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
-0.371552442557,1017,CDK2,ACH-000571,T98G,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> T98G</br><b>Dependency:</b> -0.372</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
-0.252396536805,1017,CDK2,ACH-000424,TC-71,Bone Cancer,bone,Ewing_sarcoma,</br><b>Cell Line:</b> TC-71</br><b>Dependency:</b> -0.252</br><b>Lineage:</b> bone</br><b>Disease:</b> Bone Cancer
-0.168654461853,1017,CDK2,ACH-000502,TCC-PAN2,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> TCC-PAN2</br><b>Dependency:</b> -0.169</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
-0.541684911927,1017,CDK2,ACH-000720,TCCSUP,Bladder Cancer,urinary_tract,bladder_carcinoma,</br><b>Cell Line:</b> TCCSUP</br><b>Dependency:</b> -0.542</br><b>Lineage:</b> urinary_tract</br><b>Disease:</b> Bladder Cancer
-0.0668345040496,1017,CDK2,ACH-000318,TE-10,Esophageal Cancer,esophagus,esophagus_squamous,</br><b>Cell Line:</b> TE-10</br><b>Dependency:</b> -0.067</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
-0.196478886945,1017,CDK2,ACH-000488,TE-11,Esophageal Cancer,esophagus,esophagus_squamous,</br><b>Cell Line:</b> TE-11</br><b>Dependency:</b> -0.196</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
-0.281819258232,1017,CDK2,ACH-000726,TE-14,Esophageal Cancer,esophagus,esophagus_squamous,</br><b>Cell Line:</b> TE-14</br><b>Dependency:</b> -0.282</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
-0.254470981117,1017,CDK2,ACH-000353,TE-15,Esophageal Cancer,esophagus,esophagus_squamous,</br><b>Cell Line:</b> TE-15</br><b>Dependency:</b> -0.254</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
-0.431078220472,1017,CDK2,ACH-000647,TE-1,Esophageal Cancer,esophagus,esophagus_squamous,</br><b>Cell Line:</b> TE-1</br><b>Dependency:</b> -0.431</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
-0.235512480986,1017,CDK2,ACH-000917,TE-4,Esophageal Cancer,esophagus,esophagus_squamous,</br><b>Cell Line:</b> TE-4</br><b>Dependency:</b> -0.236</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
-0.097644179478,1017,CDK2,ACH-000605,TE-6,Esophageal Cancer,esophagus,esophagus_squamous,</br><b>Cell Line:</b> TE-6</br><b>Dependency:</b> -0.098</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
-0.0164449946639,1017,CDK2,ACH-000452,TE-8,Esophageal Cancer,esophagus,esophagus_squamous,</br><b>Cell Line:</b> TE-8</br><b>Dependency:</b> -0.016</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
-0.197640172923,1017,CDK2,ACH-000694,TE-9,Esophageal Cancer,esophagus,esophagus_squamous,</br><b>Cell Line:</b> TE-9</br><b>Dependency:</b> -0.198</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
-1.21045906113,1017,CDK2,ACH-000397,TEN,Endometrial/Uterine Cancer,uterus,clear_cell_carcinoma,</br><b>Cell Line:</b> TEN</br><b>Dependency:</b> -1.210</br><b>Lineage:</b> uterus</br><b>Disease:</b> Endometrial/Uterine Cancer
-0.381612213973,1017,CDK2,ACH-000146,THP-1,Leukemia,blood,AML,</br><b>Cell Line:</b> THP-1</br><b>Dependency:</b> -0.382</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
-0.401606116084,1017,CDK2,ACH-000172,TM-87,Rhabdoid,soft_tissue,malignant_rhabdoid_tumor,</br><b>Cell Line:</b> TM-87</br><b>Dependency:</b> -0.402</br><b>Lineage:</b> soft_tissue</br><b>Disease:</b> Rhabdoid
0.0136421880325,1017,CDK2,ACH-000048,TOV-112D,Ovarian Cancer,ovary,ovary_adenocarcinoma,</br><b>Cell Line:</b> TOV-112D</br><b>Dependency:</b>  0.014</br><b>Lineage:</b> ovary</br><b>Disease:</b> Ovarian Cancer
0.157572056074,1017,CDK2,ACH-000885,TOV-21G,Ovarian Cancer,ovary,ovary_adenocarcinoma,</br><b>Cell Line:</b> TOV-21G</br><b>Dependency:</b>  0.158</br><b>Lineage:</b> ovary</br><b>Disease:</b> Ovarian Cancer
-0.317072248619,1017,CDK2,ACH-001211,TTC-549,Rhabdoid,soft_tissue,malignant_rhabdoid_tumor,</br><b>Cell Line:</b> TTC-549</br><b>Dependency:</b> -0.317</br><b>Lineage:</b> soft_tissue</br><b>Disease:</b> Rhabdoid
-0.441894506355,1017,CDK2,ACH-000597,TTC-709,Rhabdoid,soft_tissue,malignant_rhabdoid_tumor,</br><b>Cell Line:</b> TTC-709</br><b>Dependency:</b> -0.442</br><b>Lineage:</b> soft_tissue</br><b>Disease:</b> Rhabdoid
-0.212919325481,1017,CDK2,ACH-000561,T.T,Esophageal Cancer,esophagus,esophagus_squamous,</br><b>Cell Line:</b> T.T</br><b>Dependency:</b> -0.213</br><b>Lineage:</b> esophagus</br><b>Disease:</b> Esophageal Cancer
-0.0340078290217,1017,CDK2,ACH-000459,TUHR10TKB,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> TUHR10TKB</br><b>Dependency:</b> -0.034</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
-0.0616981284204,1017,CDK2,ACH-000317,TUHR14TKB,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> TUHR14TKB</br><b>Dependency:</b> -0.062</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
-0.0437985343541,1017,CDK2,ACH-000495,TUHR4TKB,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> TUHR4TKB</br><b>Dependency:</b> -0.044</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
-0.147637832506,1017,CDK2,ACH-000430,TYK-nu,Ovarian Cancer,ovary,ovary_adenocarcinoma,</br><b>Cell Line:</b> TYK-nu</br><b>Dependency:</b> -0.148</br><b>Lineage:</b> ovary</br><b>Disease:</b> Ovarian Cancer
-0.311157923569,1017,CDK2,ACH-000040,U-118 MG,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> U-118 MG</br><b>Dependency:</b> -0.311</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
-0.0860282431201,1017,CDK2,ACH-000208,U-178,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> U-178</br><b>Dependency:</b> -0.086</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
-0.223648360174,1017,CDK2,ACH-000232,U-251 MG,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> U-251 MG</br><b>Dependency:</b> -0.224</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
0.0108246229797,1017,CDK2,ACH-000364,U-2 OS,Bone Cancer,bone,osteosarcoma,</br><b>Cell Line:</b> U-2 OS</br><b>Dependency:</b>  0.011</br><b>Lineage:</b> bone</br><b>Disease:</b> Bone Cancer
0.0135037351862,1017,CDK2,ACH-000036,U343,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> U343</br><b>Dependency:</b>  0.014</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
-0.0676863610131,1017,CDK2,ACH-000075,U-87 MG,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> U-87 MG</br><b>Dependency:</b> -0.068</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
-0.0538149227102,1017,CDK2,ACH-000406,U-937,Leukemia,blood,AML,</br><b>Cell Line:</b> U-937</br><b>Dependency:</b> -0.054</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
-0.023425408949,1017,CDK2,ACH-000579,UACC-257,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> UACC-257</br><b>Dependency:</b> -0.023</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
-0.445725698883,1017,CDK2,ACH-000425,UACC-62,Skin Cancer,skin,melanoma,</br><b>Cell Line:</b> UACC-62</br><b>Dependency:</b> -0.446</br><b>Lineage:</b> skin</br><b>Disease:</b> Skin Cancer
-0.52048217801,1017,CDK2,ACH-000568,UACC-812,Breast Cancer,breast,breast_ductal_carcinoma,</br><b>Cell Line:</b> UACC-812</br><b>Dependency:</b> -0.520</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
