depmap_id,dependency,entrez_id,gene_name,cell_line_name,primary_disease,lineage,lineage_subtype,hover.string
ACH-000097,-0.7255903659971769,1017,CDK2,ZR-75-1,Breast Cancer,breast,breast_ductal_carcinoma,</br><b>Cell Line:</b> ZR-75-1</br><b>Dependency:</b> -0.726</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000098,-0.7868787742623107,1017,CDK2,GAMG,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> GAMG</br><b>Dependency:</b> -0.787</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-000099,-0.1568167095994205,1017,CDK2,SIMA,Neuroblastoma,peripheral_nervous_system,neuroblastoma,</br><b>Cell Line:</b> SIMA</br><b>Dependency:</b> -0.157</br><b>Lineage:</b> peripheral_nervous_system</br><b>Disease:</b> Neuroblastoma
ACH-000101,-0.4173680684947952,1017,CDK2,KE-37,Leukemia,blood,ALL,</br><b>Cell Line:</b> KE-37</br><b>Dependency:</b> -0.417</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-000103,-1.2250902478923709,1017,CDK2,Caov-4,Ovarian Cancer,ovary,ovary_adenocarcinoma,</br><b>Cell Line:</b> Caov-4</br><b>Dependency:</b> -1.225</br><b>Lineage:</b> ovary</br><b>Disease:</b> Ovarian Cancer
ACH-000108,-0.4742010178000709,1017,CDK2,KP-3,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> KP-3</br><b>Dependency:</b> -0.474</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000111,-0.16525854931338566,1017,CDK2,HCC1187,Breast Cancer,breast,breast_ductal_carcinoma,</br><b>Cell Line:</b> HCC1187</br><b>Dependency:</b> -0.165</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000113,-0.5174448042102318,1017,CDK2,OCI-AML2,Leukemia,blood,AML,</br><b>Cell Line:</b> OCI-AML2</br><b>Dependency:</b> -0.517</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-000114,-0.6215325726211418,1017,CDK2,SU.86.86,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> SU.86.86</br><b>Dependency:</b> -0.622</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000115,-1.3498951849753549,1017,CDK2,VCaP,Prostate Cancer,prostate,prostate_adenocarcinoma,</br><b>Cell Line:</b> VCaP</br><b>Dependency:</b> -1.350</br><b>Lineage:</b> prostate</br><b>Disease:</b> Prostate Cancer
ACH-000116,-1.2562752474973131,1017,CDK2,OAW28,Ovarian Cancer,ovary,ovary_adenocarcinoma,</br><b>Cell Line:</b> OAW28</br><b>Dependency:</b> -1.256</br><b>Lineage:</b> ovary</br><b>Disease:</b> Ovarian Cancer
ACH-000118,-0.265670530634084,1017,CDK2,HUP-T3,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> HUP-T3</br><b>Dependency:</b> -0.266</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000120,-0.3867256423055575,1017,CDK2,CHP-212,Neuroblastoma,peripheral_nervous_system,neuroblastoma,</br><b>Cell Line:</b> CHP-212</br><b>Dependency:</b> -0.387</br><b>Lineage:</b> peripheral_nervous_system</br><b>Disease:</b> Neuroblastoma
ACH-000123,-0.4661898197370727,1017,CDK2,COV434,Ovarian Cancer,ovary,ovary_adenocarcinoma,</br><b>Cell Line:</b> COV434</br><b>Dependency:</b> -0.466</br><b>Lineage:</b> ovary</br><b>Disease:</b> Ovarian Cancer
ACH-000124,-0.4316227399392498,1017,CDK2,OCI-LY-19,Lymphoma,lymphocyte,non_hodgkin_lymphoma,</br><b>Cell Line:</b> OCI-LY-19</br><b>Dependency:</b> -0.432</br><b>Lineage:</b> lymphocyte</br><b>Disease:</b> Lymphoma
ACH-000127,-0.5285200149958239,1017,CDK2,SLR 20,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> SLR 20</br><b>Dependency:</b> -0.529</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
ACH-000128,-1.1542274457350046,1017,CDK2,LN-319,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> LN-319</br><b>Dependency:</b> -1.154</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-000132,-0.2606917782887567,1017,CDK2,JHOS-2,Ovarian Cancer,ovary,ovary_adenocarcinoma,</br><b>Cell Line:</b> JHOS-2</br><b>Dependency:</b> -0.261</br><b>Lineage:</b> ovary</br><b>Disease:</b> Ovarian Cancer
ACH-000133,-0.9264583820042084,1017,CDK2,Hs 729,Fibroblast,fibroblast,fibroblast_soft_tissue,</br><b>Cell Line:</b> Hs 729</br><b>Dependency:</b> -0.926</br><b>Lineage:</b> fibroblast</br><b>Disease:</b> Fibroblast
ACH-000137,-0.94490732329485,1017,CDK2,8-MG-BA,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> 8-MG-BA</br><b>Dependency:</b> -0.945</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-000138,-0.8372798761410625,1017,CDK2,CFPAC-1,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> CFPAC-1</br><b>Dependency:</b> -0.837</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000139,-0.3438335124065631,1017,CDK2,Panc 03.27,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> Panc 03.27</br><b>Dependency:</b> -0.344</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000141,-1.3320006180537711,1017,CDK2,SNU-308,Gallbladder Cancer,bile_duct,gallbladder_adenocarcinoma,</br><b>Cell Line:</b> SNU-308</br><b>Dependency:</b> -1.332</br><b>Lineage:</b> bile_duct</br><b>Disease:</b> Gallbladder Cancer
ACH-000142,-0.4617535701349358,1017,CDK2,CAL-29,Bladder Cancer,urinary_tract,bladder_carcinoma,</br><b>Cell Line:</b> CAL-29</br><b>Dependency:</b> -0.462</br><b>Lineage:</b> urinary_tract</br><b>Disease:</b> Bladder Cancer
ACH-000143,-0.9304544164915978,1017,CDK2,NA,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> NA</br><b>Dependency:</b> -0.930</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000144,-0.943652906108848,1017,CDK2,RERF-GC-1B,Gastric Cancer,gastric,gastric_adenocarcinoma,</br><b>Cell Line:</b> RERF-GC-1B</br><b>Dependency:</b> -0.944</br><b>Lineage:</b> gastric</br><b>Disease:</b> Gastric Cancer
ACH-000146,-0.6572467993886226,1017,CDK2,THP-1,Leukemia,blood,AML,</br><b>Cell Line:</b> THP-1</br><b>Dependency:</b> -0.657</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-000147,-0.8277540049747582,1017,CDK2,T-47D,Breast Cancer,breast,breast_ductal_carcinoma,</br><b>Cell Line:</b> T-47D</br><b>Dependency:</b> -0.828</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000148,-0.6332624793118411,1017,CDK2,Hs 578T,Breast Cancer,breast,breast_carcinoma,</br><b>Cell Line:</b> Hs 578T</br><b>Dependency:</b> -0.633</br><b>Lineage:</b> breast</br><b>Disease:</b> Breast Cancer
ACH-000149,0.06105151583526036,1017,CDK2,SK-N-SH,Neuroblastoma,peripheral_nervous_system,neuroblastoma,</br><b>Cell Line:</b> SK-N-SH</br><b>Dependency:</b>  0.061</br><b>Lineage:</b> peripheral_nervous_system</br><b>Disease:</b> Neuroblastoma
ACH-000150,-0.5111769897182575,1017,CDK2,HCC2935,Lung Cancer,lung,NSCLC,</br><b>Cell Line:</b> HCC2935</br><b>Dependency:</b> -0.511</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000151,-0.4477212111103928,1017,CDK2,JM1,Leukemia,blood,ALL,</br><b>Cell Line:</b> JM1</br><b>Dependency:</b> -0.448</br><b>Lineage:</b> blood</br><b>Disease:</b> Leukemia
ACH-000152,-0.3150373142303155,1017,CDK2,M059K,Brain Cancer,central_nervous_system,glioma,</br><b>Cell Line:</b> M059K</br><b>Dependency:</b> -0.315</br><b>Lineage:</b> central_nervous_system</br><b>Disease:</b> Brain Cancer
ACH-000153,-0.7659944291069668,1017,CDK2,NCI-H2052,Lung Cancer,lung,mesothelioma,</br><b>Cell Line:</b> NCI-H2052</br><b>Dependency:</b> -0.766</br><b>Lineage:</b> lung</br><b>Disease:</b> Lung Cancer
ACH-000155,-0.5880780035783761,1017,CDK2,SW 1990,Pancreatic Cancer,pancreas,exocrine,</br><b>Cell Line:</b> SW 1990</br><b>Dependency:</b> -0.588</br><b>Lineage:</b> pancreas</br><b>Disease:</b> Pancreatic Cancer
ACH-000159,-0.5212640912136448,1017,CDK2,OS-RC-2,Kidney Cancer,kidney,renal_cell_carcinoma,</br><b>Cell Line:</b> OS-RC-2</br><b>Dependency:</b> -0.521</br><b>Lineage:</b> kidney</br><b>Disease:</b> Kidney Cancer
ACH-000160,-0.8094318193778116,1017,CDK2,BT-12,Rhabdoid,soft_tissue,ATRT,</br><b>Cell Line:</b> BT-12</br><b>Dependency:</b> -0.809</br><b>Lineage:</b> soft_tissue</br><b>Disease:</b> Rhabdoid
